alfa,cl,cd,cm
-10,-0.5881,0.02217,-0.1054
-9.5,-0.5365,0.01863,-0.1069
-9,-0.4819,0.0168,-0.1076
-8.5,-0.4263,0.01549,-0.1082
-8,-0.3699,0.01446,-0.1086
-7.5,-0.3132,0.01364,-0.1089
-7,-0.2561,0.01295,-0.1092
-6.5,-0.1987,0.01239,-0.1095
-6,-0.1412,0.01192,-0.1097
-5.5,-0.0837,0.01152,-0.11
-5,-0.026,0.01119,-0.1102
-4.5,0.0316,0.01093,-0.1104
-4,0.0893,0.01071,-0.1105
-3.5,0.1469,0.01054,-0.1107
-3,0.2045,0.01041,-0.1109
-2.5,0.2621,0.01032,-0.111
-2,0.3195,0.01027,-0.1111
-1.5,0.3769,0.01025,-0.1112
-1,0.4341,0.01027,-0.1114
-0.5,0.4911,0.01031,-0.1114
0,0.548,0.01039,-0.1115
0.5,0.6047,0.01049,-0.1116
1,0.6612,0.01062,-0.1116
1.5,0.7174,0.01077,-0.1116
2,0.7734,0.01095,-0.1116
2.5,0.829,0.01116,-0.1115
3,0.8843,0.01139,-0.1114
3.5,0.9393,0.01165,-0.1112
4,0.9938,0.01194,-0.111
4.5,1.0479,0.01225,-0.1108
5,1.1014,0.0126,-0.1104
5.5,1.1544,0.01298,-0.11
6,1.2069,0.01339,-0.1095
6.5,1.2586,0.01384,-0.109
7,1.3095,0.01432,-0.1083
7.5,1.3596,0.01485,-0.1075
8,1.4087,0.01542,-0.1065
8.5,1.4567,0.01604,-0.1054
9,1.5034,0.01671,-0.1041
9.5,1.5486,0.01744,-0.1026
10,1.592,0.01824,-0.1008
10.5,1.6332,0.0191,-0.0986
11,1.6716,0.02004,-0.0961
11.5,1.7057,0.02107,-0.0928
12,1.7302,0.02218,-0.0877
12.5,1.7547,0.02356,-0.0831
13,1.7779,0.02515,-0.0788
13.5,1.7987,0.02701,-0.0747
14,1.8168,0.02919,-0.0706
14.5,1.8318,0.03175,-0.0668
15,1.8433,0.03479,-0.0633
15.5,1.8513,0.0384,-0.0602
16,1.8546,0.04271,-0.0576
16.5,1.8535,0.04787,-0.0556
17,1.8468,0.05409,-0.0546
17.5,1.8346,0.06166,-0.0547
18,1.8149,0.07086,-0.0561
18.5,1.7862,0.0821,-0.059
19,1.7458,0.09585,-0.0636
19.5,1.6915,0.11283,-0.0706
20,1.6246,0.13331,-0.0804
20.5,1.5525,0.15604,-0.0928
21,1.4948,0.17714,-0.106
21.5,1.4562,0.19516,-0.118
22,1.4319,0.21056,-0.1287
22.5,1.4116,0.22573,-0.1397
23,1.4002,0.23881,-0.1494
23.5,1.3926,0.25113,-0.1587
24,1.3885,0.26285,-0.1677
24.5,1.3872,0.27397,-0.1763
25,1.3883,0.28447,-0.1846
